id,Obstáculo,Tipo Obstáculo,Area (m²),Altitud,Norte,Este
1,Antena,Artificial,N/A,163.146,2339943.354,5250250.060
2,Antena,Artificial,N/A,137.730,2339871.951,5249694.201
3,Antena,Artificial,N/A,127.268,2339869.810,5249160.424
4,Antena,Artificial,N/A,129.422,2339863.988,5249205.627
5,Antena,Artificial,N/A,128.244,2339866.117,5249189.829
6,Antena,Artificial,N/A,129.006,2339564.091,5250562.178
7,Cono de viento,Artificial,N/A,128.481,2339879.133,5248958.783
8,Luces PAPI,Artificial,N/A,126.782,2339832.185,5249169.336
9,Luces PAPI,Artificial,N/A,126.623,2339841.110,5249170.567
10,Luces PAPI,Artificial,N/A,126.635,2339850.138,5249171.747
11,Luces PAPI,Artificial,N/A,126.665,2339859.012,5249172.927
12,Luces PAPI,Artificial,N/A,125.973,2339590.457,5250603.881
13,Luces PAPI,Artificial,N/A,125.869,2339582.557,5250602.702
14,Luces PAPI,Artificial,N/A,125.995,2339574.606,5250601.701
15,Luces PAPI,Artificial,N/A,125.889,2339566.681,5250600.650
16,Panel solar,Artificial,N/A,127.523,2339881.467,5248959.372
17,Panel Solar,Artificial,N/A,128.266,2339867.527,5249176.158
18,Panel Solar,Artificial,N/A,128.426,2339865.604,5249203.986
19,Panel Solar,Artificial,N/A,127.038,2339562.219,5250563.640
20,Poste,Artificial,N/A,139.763,2339826.530,5249776.299
21,Poste,Artificial,N/A,139.005,2339821.451,5249815.847
22,Poste,Artificial,N/A,139.087,2339781.236,5248578.763
23,Poste,Artificial,N/A,130.752,2339722.721,5248906.667
24,Poste,Artificial,N/A,139.154,2339831.428,5249732.826
1,Vegetación,Natural,464.257,145.063,2339888.658,5249776.349
2,Vegetación,Natural,656.037,143.412,2339981.291,5249013.098
3,Vegetación,Natural,1808.641,148.577,2340005.251,5248478.396
4,Vegetación,Natural,3268.258,147.912,2339453.143,5251256.193
5,Vegetación,Natural,4681.914,146.498,2339801.881,5248525.123
6,Edificación,Artificial,28.707,131.399,2339792.153,5249938.434
7,Edificación,Artificial,139.542,140.436,2339734.425,5249007.793
8,Vegetación,Natural,107.853,133.597,2339864.151,5248763.110
9,Vegetación,Natural,1929.205,146.893,2339961.425,5248493.566
10,Cerca,Artificial,281.996,129.254,2339859.450,5249330.225
11,Edificación,Artificial,117.762,135.465,2339743.322,5248728.040
12,Vegetación,Natural,889.772,140.676,2339781.219,5248610.329
13,Edificación,Artificial,26.386,139.573,2339851.762,5249723.894
14,Red de energía,Artificial,98.495,139.253,2339729.914,5248887.213
15,Vegetación,Natural,3007.481,144.297,2339851.378,5249598.902
16,Vegetación,Natural,832.387,143.339,2339865.678,5249743.159
17,Vegetación,Natural,4765.281,145.816,2339819.365,5249894.970
18,Vegetación,Natural,232.123,146.435,2339617.567,5249189.663
19,Vegetación,Natural,228.358,144.290,2339873.303,5249848.657
20,Vegetación,Natural,49126.834,148.578,2339746.664,5250448.592
21,Vegetación,Natural,245.634,137.832,2339634.506,5251091.788
22,Vegetación,Natural,1143.567,137.312,2339463.612,5251092.373
23,Vegetación,Natural,13275.731,151.471,2339447.290,5250665.101
24,Vegetación,Natural,424.666,146.669,2339512.484,5251302.053
25,Vegetación,Natural,1090.13,140.873,2339837.710,5249733.014
26,Vegetación,Natural,537.89,138.237,2339684.941,5248991.846
