id,Obstáculo,Tipo Obstáculo,Area (m²),Altitud,Norte,Este
1,Poste,Artificial,N/A,1167.186,2476900.087,4960712.186
2,Cono de Viento,Artificial,N/A,1166.587,2477144.210,4960538.139
3,Panel Solar,Artificial,N/A,1165.954,2477144.587,4960534.877
4,Antena,Artificial,N/A,1174.173,2477137.928,4960519.280
5,Panel Solar,Artificial,N/A,1166.208,2477139.982,4960518.177
6,Panel Solar,Artificial,N/A,1167.505,2476510.608,4960572.898
7,Cono de Viento,Artificial,N/A,1165.701,2476511.023,4960569.342
8,Antena,Artificial,N/A,1166.775,2476519.592,4960570.965
9,Panel Solar,Artificial,N/A,1167.701,2476534.677,4960572.309
10,Antena,Artificial,N/A,1166.079,2476535.900,4960581.716
11,Antena,Artificial,N/A,1168.566,2476548.923,4960574.060
12,Antena,Artificial,N/A,1168.815,2476550.652,4960574.272
13,Antena,Artificial,N/A,1175.517,2476564.702,4960575.699
14,Panel Solar,Artificial,N/A,1167.631,2476562.603,4960577.103
1,Linea de Energía,Artificial,N/A,1171.080,2476899.933,4960712.264
2,Cerca,Artificial,N/A,1167.520,2477117.992,4960470.314
3,Linea de Energía,Artificial,N/A,1166.980,2477130.888,4960448.384
4,Cerca,Artificial,N/A,1161.307,2476184.109,4960493.967
1,Edificación,Artifcial,39.582,1179.019,2476947.582,4960698.957
2,Vegetación,Natural,46.035,1166.222,2477209.634,4960681.859
3,Vegetación,Natural,69.796,1178.868,2476712.691,4960700.819
4,Vegetación,Natural,92.255,1169.040,2477238.418,4960713.538
5,Vegetación,Natural,100.894,1176.449,2477107.686,4960440.578
6,Vegetación,Natural,101.744,1179.958,2476898.945,4960705.075
7,Montaña,Natural,113.024,1237.180,2472941.587,4956639.855
8,Edificación,Artifcial,121.088,1174.503,2476978.584,4960701.923
9,Montaña,Natural,135.678,1308.235,2482082.144,4963504.434
10,Montaña,Natural,187.351,1259.045,2481968.117,4961879.046
11,Montaña,Natural,188.544,1207.622,2472280.778,4960646.736
12,Edificación,Artifcial,191.832,1178.980,2476923.204,4960706.062
13,Montaña,Natural,206.019,1207.459,2473002.738,4958697.041
14,Edificación,Artifcial,224.561,1174.802,2476963.724,4960700.734
15,Vegetación,Natural,225.992,1170.470,2476663.303,4960632.492
16,Vegetación,Natural,233.226,1180.310,2476849.503,4960712.310
17,Vegetación,Natural,259.305,1166.811,2477114.532,4960662.345
18,Montaña,Natural,273.965,1358.547,2491312.668,4960858.042
19,Vegetación,Natural,297.267,1179.685,2476865.662,4960690.891
20,Edificación,Artifcial,310.806,1172.744,2477087.880,4960460.628
21,Vegetación,Natural,314.827,1181.278,2476884.259,4960721.866
22,Vegetación,Natural,320.865,1183.057,2477129.022,4960418.126
23,Vegetación,Natural,387.115,1165.371,2476219.771,4960460.564
24,Montaña,Natural,401.142,1359.097,2465580.819,4959006.167
25,Montaña,Natural,415.255,1254.975,2482086.932,4960319.612
26,Montaña,Natural,417.902,1213.365,2480109.417,4960402.961
27,Montaña,Natural,442.765,1358.008,2491268.187,4960853.956
28,Montaña,Natural,472.153,1208.486,2475013.249,4957490.136
29,Vegetación,Natural,544.191,1180.669,2476976.945,4960717.508
30,Montaña,Natural,548.186,1258.935,2482150.132,4960355.092
31,Montaña,Natural,573.165,1208.183,2471785.832,4958932.187
32,Montaña,Natural,588.000,1208.854,2473562.153,4957570.045
33,Montaña,Natural,597.682,1208.921,2478636.522,4960202.669
34,Montaña,Natural,599.219,1359.122,2465627.636,4958984.758
35,Montaña,Natural,709.123,1208.809,2474678.856,4963188.677
36,Montaña,Natural,722.471,1207.783,2476032.368,4963335.256
37,Vegetación,Natural,774.572,1182.386,2477034.743,4960468.332
38,Montaña,Natural,789.652,1290.638,2480311.733,4960923.559
39,Montaña,Natural,869.699,1359.872,2491227.858,4960841.614
40,Montaña,Natural,995.994,1210.106,2472223.117,4960999.049
41,Montaña,Natural,1004.080,1221.639,2481429.801,4959477.505
42,Montaña,Natural,1036.814,1209.142,2477317.299,4962279.669
43,Montaña,Natural,1062.657,1209.242,2476188.921,4963492.119
44,Montaña,Natural,1120.274,1359.562,2484142.399,4961259.097
45,Vegetación,Natural,1150.241,1169.204,2476226.591,4960538.028
46,Montaña,Natural,1247.417,1208.355,2480438.071,4960244.038
47,Montaña,Natural,1324.224,1208.922,2478352.082,4959942.031
48,Montaña,Natural,1330.028,1208.634,2473016.081,4958143.578
49,Montaña,Natural,1374.182,1218.418,2481385.339,4959526.433
50,Montaña,Natural,1565.268,1213.980,2472582.604,4958950.835
51,Vegetación,Natural,1690.946,1168.594,2476410.561,4960566.288
52,Montaña,Natural,1779.046,1236.437,2481615.617,4959413.216
53,Montaña,Natural,1820.433,1212.448,2472074.510,4961039.450
54,Montaña,Natural,1892.298,1165.871,2475245.622,4960311.688
55,Montaña,Natural,1960.153,1291.726,2482599.635,4960053.975
56,Montaña,Natural,2576.138,1312.878,2480968.541,4961317.470
57,Montaña,Natural,2353.137,1212.278,2478429.286,4961344.640
58,Montaña,Natural,2644.684,1213.373,2472435.480,4958796.329
59,Montaña,Natural,2799.058,1212.330,2473028.204,4958553.837
60,Montaña,Natural,2962.510,1169.089,2475771.208,4960402.446
61,Montaña,Natural,2964.164,1215.692,2474999.256,4962367.428
62,Montaña,Natural,2989.888,1212.114,2472331.654,4959181.964
63,Montaña,Natural,3311.348,1212.146,2476804.115,4959083.264
64,Montaña,Natural,3503.267,1212.693,2480262.600,4960372.710
65,Montaña,Natural,3972.752,1213.905,2479999.866,4959674.528
66,Montaña,Natural,4259.996,1211.450,2473944.262,4957638.988
67,Montaña,Natural,4331.993,1222.831,2472349.842,4960638.235
68,Montaña,Natural,4361.889,1178.077,2475650.017,4960312.934
69,Montaña,Natural,4712.260,1210.852,2473048.330,4958254.196
70,Montaña,Natural,4753.599,1210.075,2476176.786,4963295.960
71,Montaña,Natural,5408.378,1209.051,2474855.200,4959127.016
72,Montaña,Natural,5921.446,1325.377,2479843.512,4955738.788
73,Montaña,Natural,6167.603,1212.796,2472756.730,4957352.169
74,Montaña,Natural,6321.475,1217.066,2472348.371,4958722.026
75,Vegetación,Natural,6779.518,1184.908,2476779.365,4960660.670
76,Montaña,Natural,6906.993,1218.686,2472086.578,4957893.566
77,Montaña,Natural,8212.302,1263.713,2472126.613,4956881.942
78,Montaña,Natural,8226.084,1340.514,2479341.984,4955506.626
79,Montaña,Natural,8252.487,1218.797,2477588.140,4959737.775
80,Montaña,Natural,9194.424,1283.351,2482040.320,4962469.675
81,Montaña,Natural,9780.212,1228.156,2472122.147,4957653.149
82,Montaña,Natural,10110.896,1215.458,2474964.583,4957665.509
83,Montaña,Natural,11519.072,1370.522,2483896.447,4961556.190
84,Montaña,Natural,11656.313,1222.100,2472717.104,4957214.166
85,Montaña,Natural,12334.943,1240.968,2481737.467,4960122.388
86,Montaña,Natural,13293.616,1290.466,2476916.411,4965686.137
87,Montaña,Natural,14895.249,1221.568,2473767.124,4957835.575
88,Montaña,Natural,18941.156,1227.518,2472747.434,4960703.241
89,Montaña,Natural,22742.466,1311.168,2482508.975,4962038.030
90,Montaña,Natural,23237.868,1217.261,2478159.357,4960134.082
91,Montaña,Natural,26754.323,1225.581,2472464.673,4957442.909
92,Montaña,Natural,27003.483,1218.386,2472300.509,4957898.776
93,Montaña,Natural,27836.957,1332.919,2482121.112,4963276.029
94,Montaña,Natural,29473.983,1225.537,2471458.335,4959154.884
95,Montaña,Natural,29665.293,1401.216,2485104.275,4960208.485
96,Montaña,Natural,30013.496,1182.386,2476822.337,4960471.701
97,Montaña,Natural,37082.403,1235.919,2472302.925,4957613.140
98,Montaña,Natural,38423.123,1220.035,2473387.494,4957361.415
99,Montaña,Natural,40610.767,1327.243,2480887.618,4960839.974
100,Montaña,Natural,41666.535,1393.203,2466723.614,4960738.573
101,Montaña,Natural,43165.124,1222.319,2475600.522,4957601.992
102,Montaña,Natural,52492.978,1221.080,2472769.683,4958388.606
103,Montaña,Natural,52954.683,1354.029,2479095.468,4955483.458
104,Montaña,Natural,62475.544,1389.029,2483481.147,4961980.481
105,Montaña,Natural,67618.829,1417.761,2490861.103,4960024.900
106,Montaña,Natural,75788.114,1232.899,2471798.566,4959193.047
107,Montaña,Natural,77967.887,1226.482,2472488.868,4958499.191
108,Montaña,Natural,78264.871,1279.587,2472458.603,4956789.624
109,Montaña,Natural,99330.581,1347.954,2482648.756,4959622.598
110,Montaña,Natural,121849.147,1235.482,2473616.922,4958145.438
111,Montaña,Natural,125859.324,1366.413,2478776.623,4955487.074
112,Montaña,Natural,142834.817,1233.784,2471650.239,4960932.807
113,Montaña,Natural,318149.866,1489.839,2488069.279,4963490.463
114,Montaña,Natural,347287.304,1293.020,2481731.116,4959786.059
115,Montaña,Natural,5657380.172,1599.863,2486177.324,4961451.097
116,Montaña,Natural,7570503.246,1629.406,2474623.606,4955827.234
117,Montaña,Natural,8905540.397,1505.112,2472440.105,4963287.125
118,Montaña,Natural,19389612.400,1540.946,2479165.567,4963375.284
119,Montaña,Natural,19894703.680,1933.901,2463277.745,4959173.564
120,Montaña,Natural,23563986.740,1565.619,2478379.319,4957820.018
