id,Obstáculo,Tipo Obstáculo,Area (m²),Altitud,Norte,Este
1,Poste,Artificial,N/A,212.712,2326746.850,5125824.437
2,Antena,Artificial,N/A,223.603,2326751.448,5125831.721
3,Antena,Artificial,N/A,237.202,2326693.359,5125743.313
4,Antena,Artificial,N/A,208.532,2326576.839,5126153.966
5,Poste,Artificial,N/A,206.995,2326572.696,5126152.577
6,Antena,Artificial,N/A,208.973,2326555.522,5126184.035
7,Antena,Artificial,N/A,206.379,2326540.533,5126172.631
8,Poste,Artificial,N/A,208.923,2326658.248,5126085.474
9,Poste,Artificial,N/A,205.166,2326678.780,5126079.101
10,Poste,Artificial,N/A,206.131,2326766.869,5126036.354
11,Poste,Artificial,N/A,206.277,2326747.499,5126050.170
12,Poste,Artificial,N/A,211.578,2326877.296,5125722.777
13,Poste,Artificial,N/A,211.992,2326878.679,5125753.890
14,Poste,Artificial,N/A,206.209,2326866.990,5125801.229
15,Antena,Artificial,N/A,225.395,2326668.374,5125855.596
16,Poste,Artificial,N/A,209.066,2326604.868,5126160.634
17,Poste,Artificial,N/A,212.358,2326599.553,5126161.930
18,Poste,Artificial,N/A,211.000,2326669.914,5126151.300
19,Poste,Artificial,N/A,212.688,2326681.322,5126098.408
20,Poste,Artificial,N/A,205.429,2326884.298,5125945.139
21,Poste,Artificial,N/A,205.875,2326888.171,5125893.608
22,Poste,Artificial,N/A,205.719,2326886.648,5125915.809
23,Poste,Artificial,N/A,208.596,2326889.338,5125874.422
24,Poste,Artificial,N/A,208.548,2326894.102,5125816.895
25,Poste,Artificial,N/A,206.409,2326892.725,5125833.538
26,Poste,Artificial,N/A,209.335,2326895.852,5125790.935
27,Poste,Artificial,N/A,216.147,2326898.007,5125764.052
28,Poste,Artificial,N/A,212.024,2326900.341,5125731.399
29,Poste,Artificial,N/A,214.799,2326877.865,5126032.669
30,Antena,Artificial,N/A,227.338,2326816.627,5125612.011
31,Antena,Artificial,N/A,217.359,2326639.374,5126275.926
32,Cono de Viento,Artificial,N/A,204.815,2325962.801,5126454.510
33,Panel Solar,Artificial,N/A,204.408,2325964.350,5126457.441
34,Antena,Artificial,N/A,206.516,2326024.267,5126444.824
35,Panel Solar,Artificial,N/A,203.122,2326023.778,5126443.632
36,Antena,Artificial,N/A,203.942,2326010.684,5126422.449
37,Panel Solar,Artificial,N/A,205.601,2326023.695,5126414.550
38,Antena,Artificial,N/A,203.867,2326037.563,5126407.163
39,Antena,Artificial,N/A,203.955,2326036.014,5126407.973
40,Panel Solar,Artificial,N/A,204.815,2326049.000,5126402.159
41,Antena,Artificial,N/A,209.838,2326049.977,5126399.348
42,Cono de Viento,Artificial,N/A,206.887,2326313.971,5126102.756
43,Panel Solar,Artificial,N/A,206.691,2326311.326,5126100.088
44,Panel Solar,Artificial,N/A,207.562,2326558.045,5126000.128
45,Antena,Artificial,N/A,210.354,2326557.449,5126002.415
1,Cerca,Artificial,N/A,204.825,2325926.781,5126367.688
